Time, sec      Calc_Charge, C   Calc_Current, A  Calc_Energy, J   Real_Charge, C   Real_Current, A  Real_Energy, J   Abs_Energy_diff, J   Rel_Energy_diff, -   
0.000000e+00   1.000000e+00     0.000000e+00     5.000000e-01     1.000000e+00     0.000000e+00     5.000000e-01     0.000000e+00         0.000000e+00         
2.000000e-01   9.800000e-01     -2.000000e-01    5.002000e-01     9.800666e-01     -1.986693e-01    5.000000e-01     2.000000e-04         1.999600e-04         
4.000000e-01   9.204000e-01     -3.920000e-01    5.004001e-01     9.210610e-01     -3.894183e-01    5.000000e-01     4.000800e-04         3.999200e-04         
6.000000e-01   8.235920e-01     -5.682400e-01    5.006002e-01     8.253356e-01     -5.646425e-01    5.000000e-01     6.002400e-04         5.998800e-04         
8.000000e-01   6.934722e-01     -7.215936e-01    5.008005e-01     6.967067e-01     -7.173561e-01    5.000000e-01     8.004801e-04         7.998399e-04         
1.000000e+00   5.352840e-01     -8.458562e-01    5.010008e-01     5.403023e-01     -8.414710e-01    5.000000e-01     1.000800e-03         9.997997e-04         
1.200000e+00   3.554071e-01     -9.359958e-01    5.012012e-01     3.623578e-01     -9.320391e-01    5.000000e-01     1.201201e-03         1.199759e-03         
1.400000e+00   1.610998e-01     -9.883573e-01    5.014017e-01     1.699671e-01     -9.854497e-01    5.000000e-01     1.401681e-03         1.399719e-03         
1.600000e+00   -3.979369e-02    -1.000810e+00    5.016022e-01     -2.919952e-02    -9.995736e-01    5.000000e-01     1.602242e-03         1.599679e-03         
1.800000e+00   -2.391598e-01    -9.728352e-01    5.018029e-01     -2.272021e-01    -9.738476e-01    5.000000e-01     1.802883e-03         1.799638e-03         
2.000000e+00   -4.289437e-01    -9.055465e-01    5.020036e-01     -4.161468e-01    -9.092974e-01    5.000000e-01     2.003604e-03         1.999597e-03         
2.200000e+00   -6.014741e-01    -8.016469e-01    5.022044e-01     -5.885011e-01    -8.084964e-01    5.000000e-01     2.204405e-03         2.199557e-03         
2.400000e+00   -7.497740e-01    -6.653191e-01    5.024053e-01     -7.373937e-01    -6.754632e-01    5.000000e-01     2.405287e-03         2.399516e-03         
2.600000e+00   -8.678423e-01    -5.020579e-01    5.026062e-01     -8.568888e-01    -5.155014e-01    5.000000e-01     2.606249e-03         2.599474e-03         
2.800000e+00   -9.508971e-01    -3.184483e-01    5.028073e-01     -9.422223e-01    -3.349882e-01    5.000000e-01     2.807292e-03         2.799433e-03         
3.000000e+00   -9.955688e-01    -1.218999e-01    5.030084e-01     -9.899925e-01    -1.411200e-01    5.000000e-01     3.008415e-03         2.999391e-03         
3.200000e+00   -1.000037e+00    7.965185e-02     5.032096e-01     -9.982948e-01    5.837414e-02     5.000000e-01     3.209618e-03         3.199349e-03         
3.400000e+00   -9.641063e-01    2.780663e-01     5.034109e-01     -9.667982e-01    2.555411e-01     5.000000e-01     3.410902e-03         3.399307e-03         
3.600000e+00   -8.892109e-01    4.653262e-01     5.036123e-01     -8.967584e-01    4.425204e-01     5.000000e-01     3.612266e-03         3.599265e-03         
3.800000e+00   -7.783614e-01    6.338619e-01     5.038137e-01     -7.909677e-01    6.118579e-01     5.000000e-01     3.813711e-03         3.799222e-03         
4.000000e+00   -6.360218e-01    7.768569e-01     5.040152e-01     -6.536436e-01    7.568025e-01     5.000000e-01     4.015237e-03         3.999179e-03         
4.200000e+00   -4.679300e-01    8.885242e-01     5.042168e-01     -4.902608e-01    8.715758e-01     5.000000e-01     4.216843e-03         4.199136e-03         
